name,budget,placeType,travelers,duration,description,latitude,longitude
Amsterdam 6,3135,City,Solo,10,"Perfect for sightseeing, culture and modern attractions. Good for independent travel.",52.3231,4.8624
Amsterdam,3930,City,Friends,10,"A lively urban destination with food, shopping and nightlife. Fun for group travel and activities.",52.423,4.8678
Ephesus 4,2884,Historical,Family,4,"Ideal for museums, architecture and timeless charm. Comfortable for family travel.",37.9527,27.3838
Samarkand South,785,Historical,Solo,2,"Ideal for museums, architecture and timeless charm. Good for independent travel.",39.6672,66.9754
Petra East,1943,Historical,Couple,6,"Ideal for museums, architecture and timeless charm. Great for romantic trips.",30.322,35.4435
Queenstown Central,2777,Mountains,Family,9,"Great for hiking, cool weather and scenic viewpoints. Comfortable for family travel.",-44.9952,168.6359
Kashmir Valley,2406,Mountains,Solo,6,"Perfect for trekking, snow views and peaceful stays. Good for independent travel.",25.2341,55.287
Galapagos 3,710,Nature,Couple,12,A scenic destination for nature lovers and outdoor activities. Great for romantic trips.,40.7142,-3.314
Pantanal,1492,Nature,Couple,3,"A nature-rich trip with forests, wildlife and calm landscapes. Great for romantic trips.",-17.6687,-57.4592
Varanasi 7,1220,Historical,Friends,5,"Ideal for museums, architecture and timeless charm. Fun for group travel and activities.",25.3367,82.9913
Athens Central,2724,Historical,Couple,3,"Ideal for museums, architecture and timeless charm. Great for romantic trips.",33.9574,-83.3356
Varanasi,2482,Historical,Couple,6,"Ideal for museums, architecture and timeless charm. Great for romantic trips.",25.3446,83.0097
Austria Alps,1487,Mountains,Friends,5,"Great for hiking, cool weather and scenic viewpoints. Fun for group travel and activities.",47.2889,13.5288
Patagonia 6,2702,Mountains,Couple,7,"Perfect for trekking, snow views and peaceful stays. Great for romantic trips.",31.4943,-110.784
Patagonia,3048,Mountains,Solo,8,A mountain retreat with fresh air and adventure activities. Good for independent travel.,31.537,-110.7808
Prague,2218,City,Solo,9,"A lively urban destination with food, shopping and nightlife. Good for independent travel.",50.129,14.4263
Canada Wilderness,1062,Nature,Family,4,"A nature-rich trip with forests, wildlife and calm landscapes. Comfortable for family travel.",51.1327,-115.6166
Sri Lanka Rainforest West,715,Nature,Couple,4,"A nature-rich trip with forests, wildlife and calm landscapes. Great for romantic trips.",6.4025,80.4835
Maldives,4333,Beach,Couple,10,"Ideal for swimming, resorts and coastal relaxation. Great for romantic trips.",3.7165,73.2371
Banff,3371,Mountains,Solo,5,A mountain retreat with fresh air and adventure activities. Good for independent travel.,51.1821,-115.5237
Bali,5058,Beach,Friends,5,"Ideal for swimming, resorts and coastal relaxation. Fun for group travel and activities.",-8.2635,115.1485
Slovenia 9,1872,Nature,Solo,7,"Ideal for eco-tourism, adventure and open spaces. Good for independent travel.",46.107,14.852
Hawaii,3235,Beach,Friends,6,A scenic beach getaway with water sports and sunsets. Fun for group travel and activities.,19.5457,-155.428
Istanbul Old Town 5,657,Historical,Couple,7,"Ideal for museums, architecture and timeless charm. Great for romantic trips.",50.1,19.9366
Santorini,4503,Beach,Friends,8,A relaxing escape with clear waters and sunny beaches. Fun for group travel and activities.,36.4178,25.4538
Langkawi,3032,Beach,Family,3,"Ideal for swimming, resorts and coastal relaxation. Comfortable for family travel.",6.342,99.8256
Kashmir Valley,3085,Mountains,Family,2,"Great for hiking, cool weather and scenic viewpoints. Comfortable for family travel.",25.2235,55.2755
Berlin,1454,City,Family,8,A fast-paced city with iconic landmarks and great transit. Comfortable for family travel.,52.5634,13.4113
Scotland Highlands West,1597,Mountains,Couple,4,"Perfect for trekking, snow views and peaceful stays. Great for romantic trips.",57.3395,-4.2198
Madagascar,2749,Nature,Friends,10,A scenic destination for nature lovers and outdoor activities. Fun for group travel and activities.,-18.9271,46.3963
New Zealand,2663,Nature,Friends,8,A scenic destination for nature lovers and outdoor activities. Fun for group travel and activities.,-41.5313,172.8627
Kenya Safari,1173,Nature,Couple,8,A scenic destination for nature lovers and outdoor activities. Great for romantic trips.,-1.8178,36.7805
Nice Coast,1744,Beach,Friends,10,A scenic beach getaway with water sports and sunsets. Fun for group travel and activities.,-30.8168,30.3582
Hampi East,2888,Historical,Solo,5,A destination full of ancient sites and local history. Good for independent travel.,15.3477,76.4636
Chicago,3168,City,Couple,3,A fast-paced city with iconic landmarks and great transit. Great for romantic trips.,41.8945,-87.5846
Toronto North,1082,City,Solo,9,"A lively urban destination with food, shopping and nightlife. Good for independent travel.",43.6504,-79.3467
Miami Beach,4133,Beach,Family,10,A scenic beach getaway with water sports and sunsets. Comfortable for family travel.,25.8068,-80.1734
Amazon Rainforest 7,985,Nature,Family,5,"A nature-rich trip with forests, wildlife and calm landscapes. Comfortable for family travel.",-5.4564,-74.3574
Maldives 7,3444,Beach,Solo,10,"Ideal for swimming, resorts and coastal relaxation. Good for independent travel.",3.6723,73.2267
Bora Bora,3835,Beach,Friends,5,A relaxing escape with clear waters and sunny beaches. Fun for group travel and activities.,-16.5509,-151.7385
Jaipur 2,1585,Historical,Solo,3,"Rich in heritage, monuments and cultural experiences. Good for independent travel.",26.8753,75.8352
Jaipur North,1602,Historical,Solo,7,"Rich in heritage, monuments and cultural experiences. Good for independent travel.",26.8844,75.8602
Kenya Safari 4,1073,Nature,Solo,11,"Ideal for eco-tourism, adventure and open spaces. Good for independent travel.",-1.8156,36.7903
Slovenia,1470,Nature,Family,7,"Ideal for eco-tourism, adventure and open spaces. Comfortable for family travel.",46.1629,14.8116
Mount Fuji West,2980,Mountains,Solo,4,"Great for hiking, cool weather and scenic viewpoints. Good for independent travel.",35.3882,138.7353
Nepal Himalayas South,2405,Mountains,Family,8,"Great for hiking, cool weather and scenic viewpoints. Comfortable for family travel.",28.0278,86.8722
Sikkim Nature,1423,Nature,Couple,7,A scenic destination for nature lovers and outdoor activities. Great for romantic trips.,27.366,88.5667
Luxor,2190,Historical,Couple,3,"Ideal for museums, architecture and timeless charm. Great for romantic trips.",25.7454,32.6709
Zurich,2319,City,Friends,3,"Perfect for sightseeing, culture and modern attractions. Fun for group travel and activities.",47.3465,8.5873
Jaipur,898,Historical,Solo,3,A destination full of ancient sites and local history. Good for independent travel.,26.955,75.8338
Sri Lanka Coast South,1125,Beach,Family,6,A relaxing escape with clear waters and sunny beaches. Comfortable for family travel.,5.9433,80.4197
Kenya Safari East,1480,Nature,Friends,11,"Ideal for eco-tourism, adventure and open spaces. Fun for group travel and activities.",-1.8205,36.7602
Madagascar Central,1571,Nature,Family,8,"A nature-rich trip with forests, wildlife and calm landscapes. Comfortable for family travel.",-18.9218,46.4506
Varanasi 1,2118,Historical,Couple,4,"Rich in heritage, monuments and cultural experiences. Great for romantic trips.",25.3674,83.0102
Maldives,5532,Beach,Family,9,"Ideal for swimming, resorts and coastal relaxation. Comfortable for family travel.",3.711,73.2606
Myrtle Beach East,5090,Beach,Couple,8,"Ideal for swimming, resorts and coastal relaxation. Great for romantic trips.",33.6996,-78.922
Mauritius,2146,Beach,Couple,10,A scenic beach getaway with water sports and sunsets. Great for romantic trips.,-20.2977,57.5907
Dublin,3537,City,Solo,2,A fast-paced city with iconic landmarks and great transit. Good for independent travel.,53.3448,-6.2778
Phuket,1074,Beach,Couple,6,A relaxing escape with clear waters and sunny beaches. Great for romantic trips.,7.9472,98.3922
Slovenia 1,3200,Nature,Friends,10,A scenic destination for nature lovers and outdoor activities. Fun for group travel and activities.,46.0867,14.7752
Rome,2768,Historical,Solo,7,"Rich in heritage, monuments and cultural experiences. Good for independent travel.",41.9267,12.4506
Bhutan,938,Nature,Couple,4,"A nature-rich trip with forests, wildlife and calm landscapes. Great for romantic trips.",27.5084,90.5283
Coorg,1951,Nature,Family,7,"Ideal for eco-tourism, adventure and open spaces. Comfortable for family travel.",12.3873,75.6918
Delhi Heritage,1525,Historical,Couple,4,A destination full of ancient sites and local history. Great for romantic trips.,28.6105,77.1935
Prague Old Town,829,Historical,Friends,7,A destination full of ancient sites and local history. Fun for group travel and activities.,50.0922,14.3795
Varanasi 4,2763,Historical,Solo,2,A destination full of ancient sites and local history. Good for independent travel.,25.3785,83.0266
Banff,1848,Mountains,Solo,2,"Great for hiking, cool weather and scenic viewpoints. Good for independent travel.",51.1876,-115.614
Amazon Rainforest 4,815,Nature,Friends,7,"Ideal for eco-tourism, adventure and open spaces. Fun for group travel and activities.",-5.4932,-74.3431
Tanzania,1073,Nature,Friends,4,"A nature-rich trip with forests, wildlife and calm landscapes. Fun for group travel and activities.",-6.5144,35.7735
Jerusalem,1995,Historical,Solo,6,"Rich in heritage, monuments and cultural experiences. Good for independent travel.",31.8072,35.2026
Alps Village Central,1634,Mountains,Friends,7,"Great for hiking, cool weather and scenic viewpoints. Fun for group travel and activities.",33.9551,-83.3605
Pantanal,3033,Nature,Solo,7,"Ideal for eco-tourism, adventure and open spaces. Good for independent travel.",-17.6442,-57.4967
Myrtle Beach,4191,Beach,Couple,8,A relaxing escape with clear waters and sunny beaches. Great for romantic trips.,33.7344,-78.8974
Alps Village,1804,Mountains,Family,3,A mountain retreat with fresh air and adventure activities. Comfortable for family travel.,33.9571,-83.391
Angkor Wat 6,1023,Historical,Friends,2,"Rich in heritage, monuments and cultural experiences. Fun for group travel and activities.",13.4185,103.8677
Slovenia East,2077,Nature,Family,3,"A nature-rich trip with forests, wildlife and calm landscapes. Comfortable for family travel.",46.1234,14.7694
Sri Lanka Rainforest,2059,Nature,Couple,5,"Ideal for eco-tourism, adventure and open spaces. Great for romantic trips.",6.451,80.5063
Petra,1284,Historical,Solo,5,A destination full of ancient sites and local history. Good for independent travel.,30.3238,35.5084
Bangkok West,1810,City,Family,12,"A lively urban destination with food, shopping and nightlife. Comfortable for family travel.",13.7144,100.4478
Dubai Coast,4241,Beach,Solo,8,"Ideal for swimming, resorts and coastal relaxation. Good for independent travel.",25.2757,55.3026
Andes Central,1930,Mountains,Couple,7,A mountain retreat with fresh air and adventure activities. Great for romantic trips.,5.6752,-75.9249
Myrtle Beach,3387,Beach,Family,10,"Ideal for swimming, resorts and coastal relaxation. Comfortable for family travel.",33.6502,-78.9175
Nepal Himalayas,1166,Mountains,Family,5,"Perfect for trekking, snow views and peaceful stays. Comfortable for family travel.",27.9503,86.9636
Costa Rica East,1358,Nature,Friends,10,A scenic destination for nature lovers and outdoor activities. Fun for group travel and activities.,10.244,-84.1181
Petra South,1591,Historical,Family,4,"Rich in heritage, monuments and cultural experiences. Comfortable for family travel.",30.3441,35.4439
Jaipur Central,2984,Historical,Friends,5,"Ideal for museums, architecture and timeless charm. Fun for group travel and activities.",26.9226,75.7919
Los Angeles,3673,City,Family,10,"A lively urban destination with food, shopping and nightlife. Comfortable for family travel.",34.055,-118.2226
Himachal Hills,3006,Mountains,Solo,8,"Great for hiking, cool weather and scenic viewpoints. Good for independent travel.",0.0,0.0
Barcelona Central,2891,City,Couple,10,"Perfect for sightseeing, culture and modern attractions. Great for romantic trips.",41.3412,2.1935
Hampi,2012,Historical,Couple,2,A destination full of ancient sites and local history. Great for romantic trips.,15.2875,76.4477
New York,2226,City,Couple,6,A fast-paced city with iconic landmarks and great transit. Great for romantic trips.,40.6696,-74.0426
Ephesus,999,Historical,Friends,5,A destination full of ancient sites and local history. Fun for group travel and activities.,37.9872,27.3851
Los Angeles,892,City,Solo,7,A fast-paced city with iconic landmarks and great transit. Good for independent travel.,34.0858,-118.2336
Zanzibar West,3711,Beach,Couple,9,A scenic beach getaway with water sports and sunsets. Great for romantic trips.,-6.1091,39.3659
Santorini Central,4240,Beach,Friends,3,A scenic beach getaway with water sports and sunsets. Fun for group travel and activities.,36.4316,25.4246
Prague Old Town 2,1479,Historical,Solo,3,"Rich in heritage, monuments and cultural experiences. Good for independent travel.",50.085,14.4306
Norway Fjords,1835,Nature,Family,6,A scenic destination for nature lovers and outdoor activities. Comfortable for family travel.,60.9933,5.8439
Samarkand,2191,Historical,Family,6,A destination full of ancient sites and local history. Comfortable for family travel.,39.6925,66.9877
Jaipur,1818,Historical,Couple,6,A destination full of ancient sites and local history. Great for romantic trips.,26.9211,75.8214
Seoul 3,1279,City,Family,4,"Perfect for sightseeing, culture and modern attractions. Comfortable for family travel.",37.5738,127.0249
Jaipur West,2954,Historical,Couple,5,"Ideal for museums, architecture and timeless charm. Great for romantic trips.",26.8757,75.7938
Norway Fjords,2505,Nature,Couple,7,"Ideal for eco-tourism, adventure and open spaces. Great for romantic trips.",61.0746,5.8019
Iceland South,539,Nature,Family,10,A scenic destination for nature lovers and outdoor activities. Comfortable for family travel.,64.9386,-18.0811
Sikkim Nature,2514,Nature,Friends,9,"A nature-rich trip with forests, wildlife and calm landscapes. Fun for group travel and activities.",27.312,88.5191
Costa Rica 4,1696,Nature,Couple,3,"Ideal for eco-tourism, adventure and open spaces. Great for romantic trips.",10.3141,-84.1064
Gold Coast,5503,Beach,Friends,4,A scenic beach getaway with water sports and sunsets. Fun for group travel and activities.,-28.03,153.418
Kodaikanal,2507,Mountains,Solo,5,A mountain retreat with fresh air and adventure activities. Good for independent travel.,10.2779,77.515
Berlin,2227,City,Family,3,"A lively urban destination with food, shopping and nightlife. Comfortable for family travel.",52.4913,13.347
Madagascar,1179,Nature,Friends,12,"A nature-rich trip with forests, wildlife and calm landscapes. Fun for group travel and activities.",-18.8977,46.4708
Madagascar,2944,Nature,Family,11,"Ideal for eco-tourism, adventure and open spaces. Comfortable for family travel.",-18.8972,46.4371
Canada Wilderness,1055,Nature,Solo,9,A scenic destination for nature lovers and outdoor activities. Good for independent travel.,51.1799,-115.5454
Bora Bora,3638,Beach,Couple,6,A scenic beach getaway with water sports and sunsets. Great for romantic trips.,-16.492,-151.709
Andes 7,2551,Mountains,Friends,3,"Perfect for trekking, snow views and peaceful stays. Fun for group travel and activities.",5.6545,-75.9213
Scotland Highlands,2699,Mountains,Friends,7,"Perfect for trekking, snow views and peaceful stays. Fun for group travel and activities.",57.3748,-4.2259
Ephesus,2789,Historical,Solo,5,A destination full of ancient sites and local history. Good for independent travel.,37.9169,27.3765
Kashmir Valley,2083,Mountains,Family,4,"Perfect for trekking, snow views and peaceful stays. Comfortable for family travel.",25.2908,55.3273
Tokyo,3364,City,Solo,9,"Perfect for sightseeing, culture and modern attractions. Good for independent travel.",35.672,139.7806
Rome,1428,Historical,Friends,7,A destination full of ancient sites and local history. Fun for group travel and activities.,41.921,12.4659
Hong Kong,1825,City,Family,3,"Perfect for sightseeing, culture and modern attractions. Comfortable for family travel.",22.3052,114.1926
Dolomites,3384,Mountains,Friends,3,A mountain retreat with fresh air and adventure activities. Fun for group travel and activities.,46.2453,12.0838
London,2927,City,Couple,12,A fast-paced city with iconic landmarks and great transit. Great for romantic trips.,51.4983,-0.1434
Manali North,1241,Mountains,Friends,9,"Great for hiking, cool weather and scenic viewpoints. Fun for group travel and activities.",32.284,77.1919
New York,2305,City,Family,6,A fast-paced city with iconic landmarks and great transit. Comfortable for family travel.,40.7583,-74.0184
Phuket,5999,Beach,Solo,5,A scenic beach getaway with water sports and sunsets. Good for independent travel.,7.9775,98.3956
Miami Beach,2779,Beach,Friends,4,A scenic beach getaway with water sports and sunsets. Fun for group travel and activities.,25.8427,-80.1174
Ephesus,1888,Historical,Friends,8,"Ideal for museums, architecture and timeless charm. Fun for group travel and activities.",37.9834,27.3781
Seoul 4,3990,City,Family,2,A fast-paced city with iconic landmarks and great transit. Comfortable for family travel.,37.6091,126.9727
Kenya Safari South,1710,Nature,Friends,3,"A nature-rich trip with forests, wildlife and calm landscapes. Fun for group travel and activities.",-1.8068,36.7462
Langkawi,5327,Beach,Solo,3,"Ideal for swimming, resorts and coastal relaxation. Good for independent travel.",6.4028,99.8091
Bhutan,2737,Nature,Family,5,A scenic destination for nature lovers and outdoor activities. Comfortable for family travel.,27.5003,90.5507
Paris 7,1683,City,Family,2,"Perfect for sightseeing, culture and modern attractions. Comfortable for family travel.",48.8341,2.2903
Bhutan 9,2147,Nature,Friends,4,"A nature-rich trip with forests, wildlife and calm landscapes. Fun for group travel and activities.",27.5749,90.5567
Aspen,1023,Mountains,Family,5,A mountain retreat with fresh air and adventure activities. Comfortable for family travel.,39.2381,-106.81
New Zealand,2291,Nature,Family,6,"Ideal for eco-tourism, adventure and open spaces. Comfortable for family travel.",-41.5332,172.8488
Berlin,2066,City,Solo,12,A fast-paced city with iconic landmarks and great transit. Good for independent travel.,52.5242,13.392
Maldives,5066,Beach,Couple,8,A relaxing escape with clear waters and sunny beaches. Great for romantic trips.,3.7097,73.2644
Gulmarg,1183,Mountains,Family,2,"Perfect for trekking, snow views and peaceful stays. Comfortable for family travel.",34.0762,74.4065
Barcelona,2832,City,Solo,9,"Perfect for sightseeing, culture and modern attractions. Good for independent travel.",41.4321,2.1777
Norway Fjords,1144,Nature,Family,7,A scenic destination for nature lovers and outdoor activities. Comfortable for family travel.,61.0747,5.7812
Costa Rica,550,Nature,Solo,6,"Ideal for eco-tourism, adventure and open spaces. Good for independent travel.",10.2467,-84.0475
Santorini,5529,Beach,Solo,9,"Ideal for swimming, resorts and coastal relaxation. Good for independent travel.",36.4085,25.4613
Mount Fuji,3041,Mountains,Solo,7,"Great for hiking, cool weather and scenic viewpoints. Good for independent travel.",35.3142,138.7284
Hawaii,4284,Beach,Solo,4,"Ideal for swimming, resorts and coastal relaxation. Good for independent travel.",19.6264,-155.4255
Toronto 5,832,City,Friends,7,"Perfect for sightseeing, culture and modern attractions. Fun for group travel and activities.",43.6678,-79.4224
Sri Lanka Rainforest 4,2008,Nature,Friends,12,"A nature-rich trip with forests, wildlife and calm landscapes. Fun for group travel and activities.",6.3709,80.5378
Maldives,1195,Beach,Friends,6,"Ideal for swimming, resorts and coastal relaxation. Fun for group travel and activities.",3.7677,73.1921
San Francisco 4,3823,City,Friends,6,"A lively urban destination with food, shopping and nightlife. Fun for group travel and activities.",37.7553,-122.3876
Bukhara,1183,Historical,Solo,7,"Rich in heritage, monuments and cultural experiences. Good for independent travel.",39.7564,64.4331
Bhutan 2,2377,Nature,Family,4,"A nature-rich trip with forests, wildlife and calm landscapes. Comfortable for family travel.",27.5874,90.4793
Cairo,2381,Historical,Solo,7,A destination full of ancient sites and local history. Good for independent travel.,30.0899,31.2484
Nepal Himalayas,2002,Mountains,Family,9,"Great for hiking, cool weather and scenic viewpoints. Comfortable for family travel.",28.0151,86.8942
Nice Coast South,2273,Beach,Solo,4,"Ideal for swimming, resorts and coastal relaxation. Good for independent travel.",-30.831,30.386
Kyoto,1450,Historical,Family,5,"Rich in heritage, monuments and cultural experiences. Comfortable for family travel.",35.021,135.8169
Dubai,3686,City,Family,11,"A lively urban destination with food, shopping and nightlife. Comfortable for family travel.",25.089,55.2358
Madrid,2257,City,Couple,8,"Perfect for sightseeing, culture and modern attractions. Great for romantic trips.",40.39,-3.7335
Maldives,4704,Beach,Friends,6,A relaxing escape with clear waters and sunny beaches. Fun for group travel and activities.,3.7399,73.263
Paris South,3998,City,Solo,5,"Perfect for sightseeing, culture and modern attractions. Good for independent travel.",48.85,2.3312
Milan North,1107,City,Family,2,"A lively urban destination with food, shopping and nightlife. Comfortable for family travel.",45.4872,9.1538
Copenhagen,1301,City,Family,2,A fast-paced city with iconic landmarks and great transit. Comfortable for family travel.,55.6911,12.5952
Prague Old Town,720,Historical,Friends,5,"Rich in heritage, monuments and cultural experiences. Fun for group travel and activities.",50.0941,14.4108
Cancun,4653,Beach,Family,5,"Ideal for swimming, resorts and coastal relaxation. Comfortable for family travel.",21.1076,-86.8907
Angkor Wat,849,Historical,Friends,2,A destination full of ancient sites and local history. Fun for group travel and activities.,13.3787,103.8439
Hawaii West,5453,Beach,Couple,3,A scenic beach getaway with water sports and sunsets. Great for romantic trips.,19.6004,-155.4263
Ephesus,2190,Historical,Family,4,"Ideal for museums, architecture and timeless charm. Comfortable for family travel.",37.8905,27.3708
Maldives 6,1479,Beach,Family,10,A relaxing escape with clear waters and sunny beaches. Comfortable for family travel.,3.7377,73.1954
Goa,2975,Beach,Couple,7,A scenic beach getaway with water sports and sunsets. Great for romantic trips.,15.3294,74.1061
Ephesus,1321,Historical,Couple,3,"Ideal for museums, architecture and timeless charm. Great for romantic trips.",37.9851,27.2957
Madrid South,3125,City,Family,11,A fast-paced city with iconic landmarks and great transit. Comfortable for family travel.,40.4595,-3.7074
Himachal Hills 4,855,Mountains,Friends,3,"Great for hiking, cool weather and scenic viewpoints. Fun for group travel and activities.",0.0,0.0
Sydney,802,City,Friends,7,"Perfect for sightseeing, culture and modern attractions. Fun for group travel and activities.",-33.8639,151.1875
Sri Lanka Coast,1179,Beach,Solo,5,A scenic beach getaway with water sports and sunsets. Good for independent travel.,5.8996,80.4489
Aspen,3412,Mountains,Family,8,A mountain retreat with fresh air and adventure activities. Comfortable for family travel.,39.1487,-106.8303
Gulmarg 3,2489,Mountains,Couple,9,"Perfect for trekking, snow views and peaceful stays. Great for romantic trips.",34.0318,74.4355
Madagascar,2912,Nature,Couple,5,"A nature-rich trip with forests, wildlife and calm landscapes. Great for romantic trips.",-18.9227,46.4139
Maldives 6,5648,Beach,Friends,3,A relaxing escape with clear waters and sunny beaches. Fun for group travel and activities.,3.6863,73.2557
Kerala,1076,Nature,Friends,8,"Ideal for eco-tourism, adventure and open spaces. Fun for group travel and activities.",10.3449,76.5382
Phuket,4658,Beach,Family,3,A scenic beach getaway with water sports and sunsets. Comfortable for family travel.,7.8961,98.3503
Bangkok North,1242,City,Family,2,A fast-paced city with iconic landmarks and great transit. Comfortable for family travel.,13.731,100.4479
Machu Picchu East,2619,Historical,Friends,5,"Rich in heritage, monuments and cultural experiences. Fun for group travel and activities.",-13.1246,-72.5109
Delhi Heritage,1266,Historical,Couple,5,"Rich in heritage, monuments and cultural experiences. Great for romantic trips.",28.6078,77.2624
Mount Fuji,1003,Mountains,Solo,7,"Perfect for trekking, snow views and peaceful stays. Good for independent travel.",35.4062,138.7068
Toronto,2184,City,Solo,11,"Perfect for sightseeing, culture and modern attractions. Good for independent travel.",43.6455,-79.3395
Tulum,2286,Beach,Friends,3,A relaxing escape with clear waters and sunny beaches. Fun for group travel and activities.,20.4782,-87.6345
Angkor Wat,1753,Historical,Family,4,A destination full of ancient sites and local history. Comfortable for family travel.,13.4516,103.871
Munnar East,1129,Nature,Friends,3,"A nature-rich trip with forests, wildlife and calm landscapes. Fun for group travel and activities.",10.111,77.1069
Austria Alps,1517,Mountains,Friends,3,"Perfect for trekking, snow views and peaceful stays. Fun for group travel and activities.",47.22,13.5504
Aspen West,1173,Mountains,Friends,6,"Perfect for trekking, snow views and peaceful stays. Fun for group travel and activities.",39.1473,-106.8475
Aspen,1457,Mountains,Friends,7,A mountain retreat with fresh air and adventure activities. Fun for group travel and activities.,39.1558,-106.8525
Barcelona 5,2704,City,Friends,6,"A lively urban destination with food, shopping and nightlife. Fun for group travel and activities.",41.4036,2.19
Goa 4,3816,Beach,Solo,9,A relaxing escape with clear waters and sunny beaches. Good for independent travel.,15.3437,74.0512
Samarkand West,2793,Historical,Friends,7,A destination full of ancient sites and local history. Fun for group travel and activities.,39.6935,67.0091
Amsterdam,2856,City,Solo,11,"Perfect for sightseeing, culture and modern attractions. Good for independent travel.",52.4158,4.9136
Santorini,2578,Beach,Couple,5,A scenic beach getaway with water sports and sunsets. Great for romantic trips.,36.3801,25.4724
Agra North,1656,Historical,Couple,4,"Ideal for museums, architecture and timeless charm. Great for romantic trips.",27.1577,78.0467
Angkor Wat 1,1731,Historical,Family,6,"Ideal for museums, architecture and timeless charm. Comfortable for family travel.",13.3661,103.8887
Bhutan,2197,Nature,Solo,5,A scenic destination for nature lovers and outdoor activities. Good for independent travel.,27.5946,90.5512
Los Angeles West,2993,City,Family,7,A fast-paced city with iconic landmarks and great transit. Comfortable for family travel.,34.0795,-118.2228
Delhi Heritage,753,Historical,Friends,3,"Ideal for museums, architecture and timeless charm. Fun for group travel and activities.",28.6162,77.2632
Pantanal South,2121,Nature,Solo,8,"Ideal for eco-tourism, adventure and open spaces. Good for independent travel.",-17.6997,-57.457
Swiss Alps,1941,Mountains,Family,6,"Great for hiking, cool weather and scenic viewpoints. Comfortable for family travel.",46.7059,8.7351
Dubai Coast,3628,Beach,Friends,7,"Ideal for swimming, resorts and coastal relaxation. Fun for group travel and activities.",25.3071,55.2679
Miami Beach,5231,Beach,Friends,8,A relaxing escape with clear waters and sunny beaches. Fun for group travel and activities.,25.823,-80.1136
Ooty Hills,1255,Mountains,Friends,2,"Great for hiking, cool weather and scenic viewpoints. Fun for group travel and activities.",11.3843,76.6607
Bali,1414,Beach,Friends,8,"Ideal for swimming, resorts and coastal relaxation. Fun for group travel and activities.",-8.2073,115.1663
Pantanal 8,625,Nature,Solo,6,"Ideal for eco-tourism, adventure and open spaces. Good for independent travel.",-17.6546,-57.4475
Langkawi,3820,Beach,Family,5,A relaxing escape with clear waters and sunny beaches. Comfortable for family travel.,6.3792,99.7503
Athens,2943,Historical,Couple,8,"Ideal for museums, architecture and timeless charm. Great for romantic trips.",33.9948,-83.4149
Cancun,5204,Beach,Friends,3,A scenic beach getaway with water sports and sunsets. Fun for group travel and activities.,21.1442,-86.8389
Tulum,2833,Beach,Solo,7,"Ideal for swimming, resorts and coastal relaxation. Good for independent travel.",20.4236,-87.6574
Ephesus 5,1632,Historical,Friends,3,"Ideal for museums, architecture and timeless charm. Fun for group travel and activities.",37.9604,27.3446
Delhi Heritage 9,630,Historical,Solo,6,"Ideal for museums, architecture and timeless charm. Good for independent travel.",28.6238,77.2129
Patagonia,2673,Mountains,Solo,3,A mountain retreat with fresh air and adventure activities. Good for independent travel.,31.523,-110.7601
Patagonia,1314,Mountains,Couple,5,"Perfect for trekking, snow views and peaceful stays. Great for romantic trips.",31.5016,-110.7924
Maldives West,3421,Beach,Friends,7,A scenic beach getaway with water sports and sunsets. Fun for group travel and activities.,3.7318,73.1959
Milan,2205,City,Couple,5,A fast-paced city with iconic landmarks and great transit. Great for romantic trips.,45.4834,9.1831
Himachal Hills,1903,Mountains,Couple,3,"Perfect for trekking, snow views and peaceful stays. Great for romantic trips.",0.0,0.0
Norway Fjords,3180,Nature,Family,4,A scenic destination for nature lovers and outdoor activities. Comfortable for family travel.,61.0411,5.7971
Andes Central,2222,Mountains,Family,6,"Great for hiking, cool weather and scenic viewpoints. Comfortable for family travel.",5.6301,-75.8678
Athens Central,2534,Historical,Solo,3,"Ideal for museums, architecture and timeless charm. Good for independent travel.",33.927,-83.4134
Andes South,1317,Mountains,Solo,4,"Perfect for trekking, snow views and peaceful stays. Good for independent travel.",5.6444,-75.8684
Petra,1338,Historical,Family,8,"Ideal for museums, architecture and timeless charm. Comfortable for family travel.",30.354,35.4962
Sri Lanka Coast,1038,Beach,Solo,10,A scenic beach getaway with water sports and sunsets. Good for independent travel.,5.956,80.4912
Langkawi West,2060,Beach,Solo,9,"Ideal for swimming, resorts and coastal relaxation. Good for independent travel.",6.3843,99.8382
Rome,2786,Historical,Solo,3,"Ideal for museums, architecture and timeless charm. Good for independent travel.",41.9154,12.4642
Maldives,3038,Beach,Solo,6,A relaxing escape with clear waters and sunny beaches. Good for independent travel.,3.7571,73.1788
Samarkand,1284,Historical,Family,2,A destination full of ancient sites and local history. Comfortable for family travel.,39.6886,67.007
Slovenia,2276,Nature,Family,5,"A nature-rich trip with forests, wildlife and calm landscapes. Comfortable for family travel.",46.0739,14.7659
Myrtle Beach,2871,Beach,Solo,6,A scenic beach getaway with water sports and sunsets. Good for independent travel.,33.7347,-78.891
Norway Fjords 5,2001,Nature,Solo,3,A scenic destination for nature lovers and outdoor activities. Good for independent travel.,61.0727,5.7762
Budapest,3511,City,Solo,3,"Perfect for sightseeing, culture and modern attractions. Good for independent travel.",47.4658,19.1372
Prague Old Town,2841,Historical,Solo,4,"Ideal for museums, architecture and timeless charm. Good for independent travel.",50.1351,14.4156
